"","Agency responsible for death"
"620","Alto Police Department (TX)"
"621","Woodland Park Police Department (CO)"
"622","Farmington Police Department (NM)"
"623","Brusly Police Department (LA)"
"624","Avondale Estates Police Department (GA)"
"625","Halifax County Sheriff's Office (NC)"
"626","Calhoun Police Department (AL)"
"627","Olathe Police Department (KS)"
"628","Madera County Sheriff's Office (CA)"
"629","Tulare Police Department (CA)"
"630","Crawford County Sheriff's Office (MI)"
"631","Mankato Department of Public Safety (MN)"
"632","Gordon County Sheriff's Office (GA)"
"633","Buckeye Police Department (AZ)"
"634","East Orange Police Department (NJ)"
"635","Adams County Sheriff's (CO)"
"636","Greenville County Sheriff's Office (SC)"
"637","Chesterfield Police Department (VA)"
"638","Santa Maria Police Department (CA)"
"639","Senath Police Department (MO)"
"640","Arizona Department of Transportation (AZ)"
"641","Kanawha County Sheriff's Office (WV)"
"642","Mercer County Sheriff's Office (WV)"
"643","Frederick County Sheriff's Office (MD)"
"644","Lee County Sheriff's Office (AL)"
"645","Little Rock Police Department (AK)"
"646","Effingham County Sheriff's Office (GA)"
"647","Cushing Police Department (OK)"
"648","Pennsylvania State Police (PA)"
"649","Oakland County Sheriff's Office (MI)"
"650","Deptford Township Police Department (NJ)"
"651","Belding Police Department (MI)"
"652","Surprise Police Department (AZ)"
"653","Aurora Police Department (CO)"
"654","Madison County Sheriff's Office (IL)"
"655","Greensboro Police Department (NC)"
"656","Citrus Heights Police Department (CA)"
"657","Volusia County Sheriff's Office (FL)"
"658","Pueblo Police Department (CO)"
"659","Douglas County Sheriff's Office (WI)"
"660","DeKalb County Police Department (GA)"
"661","Norman Police Department (OK)"
"662","Missoula County Sheriff's Office (MT)"
"663","St. Johns County Sheriff's Office (FL)"
"664","Bridgeton Police Department (NJ)"
"665","Dothan Police Dept (AL)"
"666","Haverford Police Department (PA)"
"667","Butte County Sheriff's Office (CA)"
"668","Dallas County Sheriff's Department (AL)"
"669","Yavapai County Sheriff (AZ)"
"670","Tooele County Sheriff's Office (UT)"
"671","Franklin Township Police  (NJ)"
"672","Cullman County Sheriff's Office (AL)"
"673","Texas City Police Department (TX)"
"674","Bedford Police Department (OH)"
"675","Reedsport Police Department (OR)"
"676","Pickens Sheriff's Office (GA)"
"677","Berkeley Police Department (MO)"
"678","Lakeland Police Department (FL)"
"679","Kenton County Sheriff's Office (KY)"
"680","Minnesota State Police Department (MN)"
"681","Placer County Sheriff's Office (CA)"
"682","Dover Police Department (DE)"
"683","Deer Lodge Police Department (MT)"
"684","Pennington County Sheriff's Office (SD)"
"685","Tacoma Police Department (WA)"
"686","Marshalltown Police Department (IA)"
"687","Hennepin County Sheriff's Office (MN)"
"688","Costa Mesa Police Department (CA)"
"689","Metropolitan Nashville Police Department (TN)"
"690","Midland Police Department (TX)"
"691","Texarkana Police Department (TX)"
"692","Ridgeland Police Department (MS)"
"693","Sevierville Police Department (TN)"
"694","Mount Vernon Police Department (OH)"
"695","Poplar Bluff Police Departmnet (MO)"
"696","Palm Beach Gardens Police Department (FL)"
"697","Canon City Police Department (CO)"
"698","Sanford Police Department (NC)"
"699","Lake Station Police Department (IN)"
"700","Lansing Township Police Department (MI)"
"701","San Leandro Police Department (CA)"
"702","Nassau County Sheriff's Office (FL)"
"703","Trent Woods Police Department (NC)"
"704","U.S. Marshals Service (SC)"
"705","Cairo Police Department (GA)"
"706","South Berwick Police Department (ME)"
"707","Hugo Police Department (OK)"
"708","West Monroe Police Department (LA)"
"709","Robeson County Sheriff's Office (NC)"
"710","Elko Police Department (NV)"
"711","Pearl Police Department (MS)"
"712","Lewisville Police Department (TX)"
"713","Versailles Police Department (MO)"
"714","Cleveland TN Police Department (TN)"
"715","Balch Springs Police Department (TX)"
"716","Vancouver Police Department (WA)"
"717","West Covina Police Department (CA)"
