"","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","explicit","track_name","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"84",2010,0.628,0.692,2,-5.64,1,0.202,0.00244,0.013,0.668,0.0964,124.791,378893,TRUE,"Monster","https://open.spotify.com/track/1ZHYJ2Wwgxes4m8Ba88PeK","MBDTF","D","major","D major"
"85",2010,0.629,0.754,1,-5.873,0,0.289,0.255,0,0.63,0.58,87.07,397666,TRUE,"So Appalled","https://open.spotify.com/track/6K07Ahf6V7CAQn0ikrOztl","MBDTF","C#","minor","C# minor"
"86",2010,0.433,0.76,8,-4.935,0,0.0726,0.0175,0,0.158,0.205,79.789,351946,TRUE,"Devil In A New Dress","https://open.spotify.com/track/1UGD3lW3tDmgZfAVDh6w7r","MBDTF","G#","minor","G# minor"
"87",2010,0.571,0.568,1,-3.827,0,0.0703,0.218,0.0021,0.512,0.109,86.986,547733,TRUE,"Runaway","https://open.spotify.com/track/3DK6m7It6Pw857FcQftMds","MBDTF","C#","minor","C# minor"
"88",2010,0.449,0.813,8,-5.478,1,0.129,0.00142,0.000172,0.106,0.452,177.962,327786,TRUE,"Hell Of A Life","https://open.spotify.com/track/3rCNmRonlHN1TXQLcG3dSk","MBDTF","G#","major","G# major"
"89",2010,0.425,0.581,10,-5.964,0,0.0646,0.305,6.3e-05,0.11,0.636,83.352,469866,TRUE,"Blame Game","https://open.spotify.com/track/4EndPA8b6FDWYp1RgsnLEB","MBDTF","A#","minor","A# minor"
"90",2010,0.609,0.746,5,-5.249,0,0.184,0.115,0.0087,0.427,0.277,117.072,256586,TRUE,"Lost In The World","https://open.spotify.com/track/2Im64pIz6m0EJKdUe6eZ8r","MBDTF","F","minor","F minor"
"91",2010,0.676,0.843,1,-6.111,1,0.359,0.228,0.000718,0.856,0.597,116.152,98200,TRUE,"Who Will Survive In America","https://open.spotify.com/track/4e5IPJxSGVWPsaxQzdRseN","MBDTF","C#","major","C# major"
"92",2010,0.398,0.0785,10,-16.577,0,0.0402,0.903,0.524,0.135,0.522,113.062,62266,FALSE,"All Of The Lights  - Album Version","https://open.spotify.com/track/3htSLs0ybihAinToA4qeg7","MBDTF","A#","minor","A# minor"
"93",2008,0.603,0.401,0,-10.155,0,0.0306,0.542,0.225,0.103,0.347,172.633,377600,FALSE,"Say You Will","https://open.spotify.com/track/4ulYASOuCUwa2hQRsE2OVh","808s & Heartbreak","C","minor","C minor"
"94",2008,0.677,0.435,7,-11.024,0,0.033,0.0985,0.721,0.111,0.0729,95.991,262933,FALSE,"Welcome To Heartbreak","https://open.spotify.com/track/5Qhq7GH9AOvpP6h7QkRWTl","808s & Heartbreak","G","minor","G minor"
"95",2008,0.79,0.647,10,-5.983,0,0.136,0.0515,0,0.248,0.654,87.999,211000,FALSE,"Heartless","https://open.spotify.com/track/4ZMJshw6UOvaTWWThYtEoW","808s & Heartbreak","A#","minor","A# minor"
"96",2008,0.588,0.554,8,-8.406,1,0.0545,0.216,0.118,0.0619,0.496,146.133,238333,FALSE,"Amazing","https://open.spotify.com/track/01UniWABhnIka7GgvzOC02","808s & Heartbreak","G#","major","G# major"
"97",2008,0.76,0.524,1,-7.67,0,0.0323,0.0542,0.5,0.112,0.112,119.603,270306,FALSE,"Love Lockdown","https://open.spotify.com/track/05bIHrj5BTUoQxXZS6IH3M","808s & Heartbreak","C#","minor","C# minor"
"98",2008,0.587,0.611,6,-7.408,1,0.106,0.114,9.83e-05,0.0765,0.464,114.991,277906,FALSE,"Paranoid","https://open.spotify.com/track/6S4ifbZ4Q2DhhD0ysxftK3","808s & Heartbreak","F#","major","F# major"
"99",2008,0.698,0.447,5,-8.04,0,0.102,0.157,0.00564,0.405,0.407,133.776,274360,FALSE,"RoboCop","https://open.spotify.com/track/02IlA1DlVZa5chlik45jv5","808s & Heartbreak","F","minor","F minor"
"100",2008,0.644,0.487,6,-9.654,1,0.034,0.0287,0.0166,0.206,0.467,125.528,189906,FALSE,"Street Lights","https://open.spotify.com/track/5ByRHOS9edOQr436aB8NdN","808s & Heartbreak","F#","major","F# major"
"101",2008,0.749,0.436,9,-11.99,1,0.0393,0.0288,0.201,0.114,0.167,106.171,238773,FALSE,"Bad News","https://open.spotify.com/track/3I9MY53joyhqFNKjqGHJKy","808s & Heartbreak","A","major","A major"
"102",2008,0.676,0.432,7,-8.035,0,0.0339,0.0626,0,0.103,0.156,124.597,258120,FALSE,"See You In My Nightmares","https://open.spotify.com/track/60903t5ee2xtH5dHJ0AnPQ","808s & Heartbreak","G","minor","G minor"
"103",2008,0.761,0.516,0,-10.229,1,0.044,0.171,3.21e-06,0.265,0.562,133.999,164333,FALSE,"Coldest Winter","https://open.spotify.com/track/3Oa5mzKpQM8MrpcylcnnNJ","808s & Heartbreak","C","major","C major"
"104",2008,0.341,0.281,10,-13.204,0,0.0501,0.95,0,0.948,0.306,74.997,361600,FALSE,"Pinocchio Story - Freestyle / Live From Singapore","https://open.spotify.com/track/2H4MsAq1bT8Wr78Sc8WFJg","808s & Heartbreak","A#","minor","A# minor"
"105",2008,0.341,0.281,10,-13.204,0,0.0501,0.95,0,0.948,0.306,74.997,361600,FALSE,"Pinocchio Story","https://open.spotify.com/track/6giHsGo1eSYZSXKdNwTC62","808s & Heartbreak","A#","minor","A# minor"
"106",2007,0.48,0.631,7,-5.488,1,0.116,0.0791,0.000105,0.149,0.515,84.164,195093,TRUE,"Good Morning","https://open.spotify.com/track/6MXXY2eiWkpDCezVCc0cMH","Graduation","G","major","G major"
"107",2007,0.693,0.504,6,-8.306,1,0.238,0.00299,0,0.695,0.723,102.139,167600,TRUE,"Champion","https://open.spotify.com/track/4UQMOPSUVJVicIQzjAcRRZ","Graduation","F#","major","F# major"
"108",2007,0.617,0.717,10,-7.858,0,0.153,0.00564,0,0.408,0.49,103.992,311866,TRUE,"Stronger","https://open.spotify.com/track/0j2T0R9dR9qdJYsB7ciXhf","Graduation","A#","minor","A# minor"
"109",2007,0.542,0.466,0,-8.665,1,0.0831,0.141,0.000445,0.125,0.124,191.385,243440,TRUE,"I Wonder","https://open.spotify.com/track/7rbECVPkY5UODxoOUVKZnA","Graduation","C","major","C major"
